Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV F1 Mean,CV F1 Std
Logistic Regression,0.9991428571428571,1.0,0.9986797227417757,0.999339425300011,1.0,0.9989533199991584,0.0005837088752016854
AdaBoost,0.9982857142857143,1.0,0.9973594454835516,0.9986779773052771,0.9999854265873129,0.9974488520632807,0.0017698571480144105
XGBoost,0.9911428571428571,0.9983324068927182,0.9880074815711299,0.9931431099314311,0.9997656380167265,0.9936316993474165,0.0002814230934316778
SVM,0.9862142857142857,0.9985429275947098,0.9801958411266366,0.9892843262450725,0.9996907658488552,0.9880877775755206,0.0005051027223182108
LightGBM,0.9612142857142857,0.9926216278533548,0.947298932775883,0.969430839385239,0.9973313740214503,0.9710808012221699,0.0016802689181719052
Gradient Boosting,0.9398571428571428,0.9846045363732518,0.9217735724502145,0.9521536538242982,0.9924639325958715,0.9522596640282261,0.0024965583021249404
Random Forest,0.9326428571428571,0.9769320843091335,0.9179227637803938,0.9465085937943162,0.9897738889654711,0.9480042130634875,0.0017954190301651565
Naive Bayes,0.8881428571428571,0.9636386047084925,0.8601606337330839,0.9089640739448901,0.9773444481985076,0.908549182041819,0.0033829052544678165
K-Nearest Neighbors,0.8813571428571428,0.9559292904493003,0.8567499174826714,0.9036263417464462,0.9571965203305604,0.9036117430501628,0.0019795030377722763
Decision Tree,0.8749285714285714,0.9306338028169014,0.872373198371658,0.900562212504969,0.8760155545920599,0.8988190393375918,0.0024914731528286518
Dummy (Most Frequent),0.6492142857142857,0.6492142857142857,1.0,0.7873013123132228,0.5,0.7872908073003357,2.101002577421518e-05
